Classification Name,Classification Code,Country Name,Country Code,Time,Time Code,Cost of an energy sufficient diet in PPP dollars [CoCA_PPP],Cost of a nutrient adequate diet in PPP dollars [CoNA_PPP],Cost of a healthy diet in PPP dollars [CoHD_PPP],Cost of fruits in PPP dollars [CoHD_f_PPP],Cost of vegetables in PPP dollars [CoHD_v_PPP],Cost of starchy staples in PPP dollars [CoHD_ss_PPP],Cost of animal source foods in PPP dollars [CoHD_asf_PPP],"Cost of legumes, nuts and seeds in PPP dollars [CoHD_lns_PPP]",Cost of fats and oils in PPP dollars [CoHD_of_PPP],Cost of an energy sufficient diet in local currency unit [CoCA_LCU],Cost of a nutrient adequate diet in local currency unit [CoNA_LCU],Cost of a healthy diet in local currency unit [CoHD_LCU],Cost of fruits in local currency unit [CoHD_f_LCU],Cost of vegetables in local currency unit [CoHD_v_LCU],Cost of starchy staples in local currency unit [CoHD_ss_LCU],Cost of animal source foods in local currency unit [CoHD_asf_LCU],"Cost of legumes, nuts and seeds in local currency unit [CoHD_lns_LCU]",Cost of fats and oils in local currency unit [CoHD_of_LCU],Cost of a healthy diet relative to the cost of sufficient energy from starchy staples [CoHD_CoCA],Cost share for fruits in a least-cost healthy diet [CoHD_f_prop],Cost share for vegetables in a least-cost healthy diet [CoHD_v_prop],Cost share for starchy staples in a least-cost healthy diet [CoHD_ss_prop],Cost share for animal-sourced foods in a least-cost healthy diet [CoHD_asf_prop],"Cost share for legumes, nuts and seeds in a least-cost healthy diet [CoHD_lns_prop]",Cost share for oils and fats in a least-cost healthy diet [CoHD_of_prop],Cost of fruits relative to the starchy staples in a least-cost healthy diet [CoHD_f_ss],Cost of vegetables relative to the starchy staples in a least-cost healthy diet [CoHD_v_ss],Cost of animal-sourced foods relative to the starchy staples in a least-cost healthy diet [CoHD_asf_ss],"Cost of legumes, nuts and seeds relative to the starchy staples in a least-cost healthy diet [CoHD_lns_ss]",Cost of oils and fats relative to the starchy staples in a least-cost healthy diet [CoHD_of_ss],Affordability of an energy sufficient diet: ratio of cost to the food poverty line [CoCA_pov],Affordability of a nutrient adequate diet: ratio of cost to the food poverty line [CoNA_pov],Affordability of a healthy diet: ratio of cost to the food poverty line [CoHD_pov],Affordability of an energy sufficient diet: ratio of cost to food expenditures [CoCA_fexp],Affordability of a nutrient adequate diet: ratio of cost to food expenditures [CoNA_fexp],Affordability of a healthy diet: ratio of cost to food expenditures [CoHD_fexp],Percent of the population who cannot afford sufficient calories [CoCA_headcount],Percent of the population who cannot afford nutrient adequacy [CoNA_headcount],Percent of the population who cannot afford a healthy diet [CoHD_headcount],Millions of people who cannot afford sufficient calories [CoCA_unafford_n],Millions of people who cannot afford nutrient adequacy [CoNA_unafford_n],Millions of people who cannot afford a healthy diet [CoHD_unafford_n],Population [Pop]
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2023,YR2023,..,..,4.13,..,..,..,..,..,..,..,..,2.19,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.31,..,..,..,..,..,0.7,..,..,0.1,10318207
Food Prices for Nutrition 4.0,FPN 4.0,Azerbaijan,AZE,2024,YR2024,..,..,4.2,..,..,..,..,..,..,..,..,2.22,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.33,..,..,..,..,..,0.6,..,..,0.1,10336577
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2017,YR2017,..,..,4.2,..,..,..,..,..,..,..,..,4.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,..,..,..,..,390485
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2018,YR2018,..,..,4.23,..,..,..,..,..,..,..,..,4.83,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,..,..,..,..,392717
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2019,YR2019,..,..,4.12,..,..,..,..,..,..,..,..,4.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37,..,..,..,..,..,..,..,..,..,394675
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2020,YR2020,..,..,4.19,..,..,..,..,..,..,..,..,4.92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37,..,..,..,..,..,..,..,..,..,395863
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2021,YR2021,..,..,4.28,..,..,..,..,..,..,..,..,5.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,..,..,..,..,396373
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2022,YR2022,..,..,4.97,..,..,..,..,..,..,..,..,5.69,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.44,..,..,..,..,..,..,..,..,..,397538
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2023,YR2023,..,..,5.25,..,..,..,..,..,..,..,..,5.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.47,..,..,..,..,..,..,..,..,..,399440
Food Prices for Nutrition 4.0,FPN 4.0,"Bahamas, The",BHS,2024,YR2024,..,..,5.54,..,..,..,..,..,..,..,..,6.14,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.5,..,..,..,..,..,..,..,..,..,401283
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2017,YR2017,..,..,3.04,..,..,..,..,..,..,..,..,0.63,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.27,..,..,..,..,..,..,..,..,..,1481995
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2018,YR2018,..,..,3.19,..,..,..,..,..,..,..,..,0.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,..,..,..,..,..,..,..,..,..,1497626
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2019,YR2019,..,..,3.3,..,..,..,..,..,..,..,..,0.66,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.29,..,..,..,..,..,..,..,..,..,1485670
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2020,YR2020,..,..,3.42,..,..,..,..,..,..,..,..,0.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.31,..,..,..,..,..,..,..,..,..,1483077
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2021,YR2021,0.87,2.1,3.25,0.41,0.74,0.47,1.03,0.45,0.15,0.18,0.44,0.68,0.09,0.15,0.1,0.22,0.09,0.03,3.74,0.13,0.23,0.14,0.32,0.14,0.05,0.86,1.57,2.18,0.95,0.32,0.08,0.19,0.29,0.13,0.32,0.5,..,..,..,..,..,..,1501764
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2022,YR2022,..,..,3.74,..,..,..,..,..,..,..,..,0.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.33,..,..,..,..,..,..,..,..,..,1533459
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2023,YR2023,..,..,4.12,..,..,..,..,..,..,..,..,0.79,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.37,..,..,..,..,..,..,..,..,..,1569666
Food Prices for Nutrition 4.0,FPN 4.0,Bahrain,BHR,2024,YR2024,..,..,4.33,..,..,..,..,..,..,..,..,0.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39,..,..,..,..,..,..,..,..,..,1607049
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2017,YR2017,..,..,3.09,..,..,..,..,..,..,..,..,89.53,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.51,..,..,..,..,..,65.7,..,..,106.6,162186147
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2018,YR2018,..,..,3.26,..,..,..,..,..,..,..,..,95.1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.6,..,..,..,..,..,62.1,..,..,101.5,163523103
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2019,YR2019,..,..,3.41,..,..,..,..,..,..,..,..,100.39,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.67,..,..,..,..,..,59.2,..,..,97.7,164913055
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2020,YR2020,..,..,3.61,..,..,..,..,..,..,..,..,106.17,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.77,..,..,..,..,..,56.6,..,..,94.1,166298024
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2021,YR2021,0.89,2.03,3.83,0.66,0.76,0.46,1.55,0.27,0.13,25.93,59.36,111.8,19.25,22.24,13.37,45.35,7.76,3.83,4.31,0.17,0.2,0.12,0.41,0.07,0.03,1.44,1.66,3.39,0.58,0.29,0.44,1,1.88,0.12,0.27,0.51,8.4,25.4,52.6,14.1,42.6,88.3,167658854
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2022,YR2022,..,..,4.13,..,..,..,..,..,..,..,..,120.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.03,..,..,..,..,..,49.1,..,..,83.1,169384897
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2023,YR2023,..,..,4.33,..,..,..,..,..,..,..,..,133.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.12,..,..,..,..,..,46.5,..,..,79.8,171466990
Food Prices for Nutrition 4.0,FPN 4.0,Bangladesh,BGD,2024,YR2024,..,..,4.49,..,..,..,..,..,..,..,..,148.21,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.2,..,..,..,..,..,44.4,..,..,77.1,173562364
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2017,YR2017,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,280171
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2018,YR2018,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,280711
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2019,YR2019,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,281207
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2020,YR2020,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,281698
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2021,YR2021,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282147
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2022,YR2022,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282318
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2023,YR2023,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282336
Food Prices for Nutrition 4.0,FPN 4.0,Barbados,BRB,2024,YR2024,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,282467
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2017,YR2017,..,..,3.13,..,..,..,..,..,..,..,..,1.93,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,..,..,..,..,..,3.3,..,..,0.3,9495790
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2018,YR2018,..,..,3.13,..,..,..,..,..,..,..,..,2.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.99,..,..,..,..,..,1.9,..,..,0.2,9480031
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2019,YR2019,..,..,3.19,..,..,..,..,..,..,..,..,2.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.01,..,..,..,..,..,2.4,..,..,0.2,9435419
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2020,YR2020,..,..,3.22,..,..,..,..,..,..,..,..,2.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.02,..,..,..,..,..,1.2,..,..,0.1,9350944
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2021,YR2021,0.84,2.01,3.3,0.94,0.48,0.58,0.84,0.26,0.2,0.62,1.49,2.44,0.69,0.35,0.43,0.62,0.19,0.15,3.93,0.28,0.14,0.18,0.25,0.08,0.06,1.6,0.82,1.43,0.44,0.35,0.27,0.64,1.05,0.09,0.21,0.35,0.1,0.4,1,0,0,0.1,9251365
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2022,YR2022,..,..,3.6,..,..,..,..,..,..,..,..,2.84,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.14,..,..,..,..,..,1,..,..,0.1,9173237
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2023,YR2023,..,..,3.72,..,..,..,..,..,..,..,..,2.96,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.18,..,..,..,..,..,0.7,..,..,0.1,9115680
Food Prices for Nutrition 4.0,FPN 4.0,Belarus,BLR,2024,YR2024,..,..,3.83,..,..,..,..,..,..,..,..,3.13,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.22,..,..,..,..,..,0.7,..,..,0.1,9056696
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2017,YR2017,..,..,2,..,..,..,..,..,..,..,..,1.72,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.18,..,..,..,..,..,2.1,..,..,0.2,11376581
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2018,YR2018,..,..,2.07,..,..,..,..,..,..,..,..,1.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.19,..,..,..,..,..,1.2,..,..,0.1,11428605
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2019,YR2019,..,..,2.16,..,..,..,..,..,..,..,..,1.77,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.19,..,..,..,..,..,1.3,..,..,0.2,11490618
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2020,YR2020,..,..,2.28,..,..,..,..,..,..,..,..,1.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.2,..,..,..,..,..,1,..,..,0.1,11540107
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2021,YR2021,0.3,1.64,2.26,0.74,0.63,0.22,0.53,0.1,0.05,0.24,1.31,1.81,0.59,0.5,0.18,0.43,0.08,0.04,7.47,0.33,0.28,0.1,0.23,0.05,0.02,3.36,2.85,2.42,0.47,0.22,0.03,0.15,0.2,0.04,0.19,0.26,0.5,0.7,0.7,0.1,0.1,0.1,11570844
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2022,YR2022,..,..,2.49,..,..,..,..,..,..,..,..,1.97,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.22,..,..,..,..,..,0.7,..,..,0.1,11641820
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2023,YR2023,..,..,2.77,..,..,..,..,..,..,..,..,2.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,0.7,..,..,0.1,11712893
Food Prices for Nutrition 4.0,FPN 4.0,Belgium,BEL,2024,YR2024,..,..,2.81,..,..,..,..,..,..,..,..,2.28,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.25,..,..,..,..,..,0.7,..,..,0.1,11738763
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2017,YR2017,..,..,2.56,..,..,..,..,..,..,..,..,3.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.81,..,..,..,..,..,65.7,..,..,0.2,373202
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2018,YR2018,..,..,2.69,..,..,..,..,..,..,..,..,3.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.86,..,..,..,..,..,65.6,..,..,0.2,380226
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2019,YR2019,..,..,2.9,..,..,..,..,..,..,..,..,3.71,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.92,..,..,..,..,..,62.9,..,..,0.2,385829
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2020,YR2020,..,..,3.16,..,..,..,..,..,..,..,..,3.75,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1,..,..,..,..,..,70.5,..,..,0.3,390812
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2021,YR2021,1.16,2.21,3.52,0.28,1.22,0.65,0.88,0.35,0.13,1.29,2.47,3.93,0.32,1.36,0.73,0.98,0.39,0.14,3.04,0.08,0.35,0.19,0.25,0.1,0.04,0.43,1.87,1.34,0.54,0.2,0.37,0.7,1.12,0.25,0.47,0.75,50.9,57.8,65.7,0.2,0.2,0.3,395346
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2022,YR2022,..,..,3.85,..,..,..,..,..,..,..,..,4.23,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.22,..,..,..,..,..,62.2,..,..,0.3,402733
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2023,YR2023,..,..,4.32,..,..,..,..,..,..,..,..,4.76,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.37,..,..,..,..,..,62.5,..,..,0.3,411106
Food Prices for Nutrition 4.0,FPN 4.0,Belize,BLZ,2024,YR2024,..,..,4.54,..,..,..,..,..,..,..,..,5.02,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.44,..,..,..,..,..,62.4,..,..,0.3,417072
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2017,YR2017,..,..,2.85,..,..,..,..,..,..,..,..,613.27,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.4,..,..,..,..,..,78.5,..,..,9.5,12039780
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2018,YR2018,..,..,2.87,..,..,..,..,..,..,..,..,621.24,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.41,..,..,..,..,..,69.8,..,..,8.6,12383347
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2019,YR2019,..,..,2.89,..,..,..,..,..,..,..,..,617,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.42,..,..,..,..,..,63.3,..,..,8.1,12726755
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2020,YR2020,..,..,2.91,..,..,..,..,..,..,..,..,635.68,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.42,..,..,..,..,..,61.7,..,..,8.1,13070169
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2021,YR2021,0.79,1.95,3.07,0.36,0.57,0.58,1.09,0.3,0.18,173.79,427.2,672.61,78.04,125.3,126.17,238.77,64.85,39.49,3.87,0.12,0.19,0.19,0.36,0.1,0.06,0.62,0.99,1.89,0.51,0.31,0.39,0.96,1.51,0.26,0.64,1,18.6,42.6,60.3,2.5,5.7,8.1,13413417
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2022,YR2022,..,..,3.25,..,..,..,..,..,..,..,..,667.98,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.59,..,..,..,..,..,56.9,..,..,7.8,13759501
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2023,YR2023,..,..,3.3,..,..,..,..,..,..,..,..,669.56,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.62,..,..,..,..,..,54.7,..,..,7.7,14111034
Food Prices for Nutrition 4.0,FPN 4.0,Benin,BEN,2024,YR2024,..,..,3.39,..,..,..,..,..,..,..,..,674.62,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.66,..,..,..,..,..,53.4,..,..,7.7,14462724
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2017,YR2017,..,..,2.88,..,..,..,..,..,..,..,..,4.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,..,..,..,..,63578
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2018,YR2018,..,..,2.94,..,..,..,..,..,..,..,..,4.74,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.26,..,..,..,..,..,..,..,..,..,63831
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2019,YR2019,..,..,3.12,..,..,..,..,..,..,..,..,4.87,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.28,..,..,..,..,..,..,..,..,..,64107
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2020,YR2020,..,..,3.33,..,..,..,..,..,..,..,..,5.01,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.3,..,..,..,..,..,..,..,..,..,64382
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2021,YR2021,1.3,2.56,3.55,0.37,1.07,0.72,0.9,0.34,0.15,1.87,3.69,5.11,0.54,1.54,1.03,1.3,0.48,0.22,2.74,0.11,0.3,0.2,0.25,0.09,0.04,0.52,1.5,1.26,0.47,0.21,0.12,0.23,0.32,0.19,0.37,0.52,..,..,..,..,..,..,64648
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2022,YR2022,..,..,3.96,..,..,..,..,..,..,..,..,5.51,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.35,..,..,..,..,..,..,..,..,..,64749
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2023,YR2023,..,..,4.23,..,..,..,..,..,..,..,..,5.88,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.38,..,..,..,..,..,..,..,..,..,64698
Food Prices for Nutrition 4.0,FPN 4.0,Bermuda,BMU,2024,YR2024,..,..,4.39,..,..,..,..,..,..,..,..,6.09,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.39,..,..,..,..,..,..,..,..,..,64636
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2017,YR2017,..,..,4.13,..,..,..,..,..,..,..,..,83.32,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.03,..,..,..,..,..,29.4,..,..,0.2,754335
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2018,YR2018,..,..,4.32,..,..,..,..,..,..,..,..,87.45,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.12,..,..,..,..,..,14.5,..,..,0.1,759759
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2019,YR2019,..,..,4.44,..,..,..,..,..,..,..,..,90.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.17,..,..,..,..,..,18.4,..,..,0.1,764824
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2020,YR2020,..,..,4.87,..,..,..,..,..,..,..,..,100.82,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.38,..,..,..,..,..,17.9,..,..,0.1,770006
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2021,YR2021,1.01,2.98,5.14,1.5,0.99,0.58,1.4,0.41,0.26,21.58,63.72,109.86,32.03,21.16,12.45,29.79,8.81,5.62,5.09,0.29,0.19,0.11,0.27,0.08,0.05,2.57,1.7,2.39,0.71,0.45,0.5,1.46,2.52,0.15,0.45,0.78,0.8,7.7,22.3,0,0.1,0.2,775442
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2022,YR2022,..,..,5.48,..,..,..,..,..,..,..,..,114.44,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.69,..,..,..,..,..,5.6,..,..,0,780914
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2023,YR2023,..,..,5.69,..,..,..,..,..,..,..,..,118.92,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.79,..,..,..,..,..,5,..,..,0,786385
Food Prices for Nutrition 4.0,FPN 4.0,Bhutan,BTN,2024,YR2024,..,..,5.96,..,..,..,..,..,..,..,..,124.35,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2.92,..,..,..,..,..,4.5,..,..,0,791524
Food Prices for Nutrition 4.0,FPN 4.0,Bolivia,BOL,2017,YR2017,..,..,3.62,..,..,..,..,..,..,..,..,9.15,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.78,..,..,..,..,..,14.7,..,..,1.7,11344587
Food Prices for Nutrition 4.0,FPN 4.0,Bolivia,BOL,2018,YR2018,..,..,3.61,..,..,..,..,..,..,..,..,9.38,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.77,..,..,..,..,..,13.3,..,..,1.5,11508368
Food Prices for Nutrition 4.0,FPN 4.0,Bolivia,BOL,2019,YR2019,..,..,3.75,..,..,..,..,..,..,..,..,9.7,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.84,..,..,..,..,..,9.9,..,..,1.2,11671386
Food Prices for Nutrition 4.0,FPN 4.0,Bolivia,BOL,2020,YR2020,..,..,3.78,..,..,..,..,..,..,..,..,9.64,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.85,..,..,..,..,..,11.1,..,..,1.3,11816299
Food Prices for Nutrition 4.0,FPN 4.0,Bolivia,BOL,2021,YR2021,1.52,2.87,3.96,0.67,0.71,0.78,1.24,0.4,0.17,3.73,7.03,9.69,1.63,1.74,1.9,3.03,0.98,0.42,2.6,0.17,0.18,0.2,0.31,0.1,0.04,0.86,0.91,1.6,0.52,0.22,0.75,1.41,1.94,0.37,0.71,0.97,3.8,6.5,9.1,0.4,0.8,1.1,11937360
